IDESTACION,DENOMINACION,X,Y,LINEAS,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS
6_5385,AVDA. SANTUARIO DE VALVERDE,440035.0,4484149.0,"134, 170, 178, N23",2,3
6_5393,FTE.CARRANTONA-HACIENDA PAVONES,446098.0,4472635.0,"142, 144",2,3
6_5404,CALLE DE FERNANDEZ CARO,445209.0,4477240.0,21,2,3
6_5405,CALLE DE FERNANDEZ CARO,445284.0,4477358.0,21,2,3
6_1123,JORGE JUAN-PRINCIPE DE VERGARA,442435.0,4475196.0,29,2,3
6_1124,GOYA-DR.ESQUERDO,443300.0,4475284.0,30,2,3
6_1126,DR.ESQUERDO-SAMARIA,443278.0,4474053.0,"30, 56, 143, 156, N8",2,3
6_1127,Cº VINATEROS-ARROYO MEDIA LEGUA,444433.0,4473740.0,"30, 32, N8",2,3
6_1129,ENTREARROYOS,444530.0,4473477.0,"30, 32, N8",2,3
6_101,BRAVO MURILLO-ALMANSA,440425.0,4478037.0,"3, 64, 66, 124, 128, N23",2,3
6_1656,CAPITAN BLANCO ARGIBAY-MULLER,440880.0,4479846.0,"49, N22",2,3
6_6,CARTAGENA-AZCONA,443241.0,4476360.0,1,2,3
6_7,AV.LOS TOREROS-FCO.SILVELA,443200.0,4476123.0,"1, 74",2,3
6_8,J.ORTEGA Y GASSET-FCO.SILVELA,443164.0,4475886.0,"1, 74",2,3
6_10,J.ORTEGA Y GASSET-PZA.MQUES.SALAMANCA,442380.0,4475940.0,"1, 74",2,3
6_13,SERRANO-GOYA,441756.0,4475447.0,"1, 9, 19, 51, 74, N4",2,3
6_3440,SAN GERMAN-ORENSE,441173.0,4478845.0,126,2,3
6_95,PZA.DE SAN AMARO,441013.0,4478697.0,3,2,3
6_17,ALCALA-BARQUILLO,441046.0,4474706.0,"1, 1, 2, 74, 146",2,3
6_20,GRAN VIA-PZA.ESPAÑA,439882.0,4475151.0,"3, 46, 74, 75, 148, N16, N18, N19, N20",2,3
6_22,PRINCESA Nº 32,439504.0,4475756.0,"1, 1, 44, 133, 138, C1",2,3
6_24,PRINCESA-HILARION ESLAVA,439270.0,4476190.0,"1, 1, 44, 133, 138, C1, N21",2,3
6_144,GRAL.PERON-AVIADOR ZORITA,440852.0,4478420.0,"3, 43",2,3
6_31,PRINCESA Nº 29,439499.0,4475717.0,"1, 1, 2, 44, 133, 138, C2",2,3
6_219,ORENSE-PALACIO DE CONGRESOS,441177.0,4478535.0,"5, 149",2,3
6_36,GRAN VIA-ALCALA,440959.0,4474700.0,"1, 1, 2, 2, 3, 46, 74, 146",2,3
6_3154,JOAN MARAGALL-PEDRO TEIXEIRA,441403.0,4478623.0,149,2,3
6_5330,ESTACION CERCANIAS VILLAVERDE ALTO,439711.0,4466136.0,"22, T41",2,3
6_5331,DOMINGO PARRAGA-STA. JOAQUINA VEDRUNA,439386.0,4466192.0,"22, T41",2,3
6_5333,DOMINGO PARRAGA-PºFERROVIARIOS,439087.0,4466060.0,T41,2,3
6_5334,CIUDAD DE FRIAS-BASCUÑUELOS,439460.0,4465703.0,T41,2,3
6_5335,CIUDAD DE FRIAS-RESINA,439450.0,4465461.0,T41,2,3
6_5338,LAGUNA DEL MARQUESADO-AV.REAL DE PINTO,439718.0,4465226.0,T41,2,3
6_5339,RESINA-SAN ERASMO,440153.0,4465472.0,T41,2,3
6_5586,AV.VILLA DE VALLECAS-CONGOSTO,447674.0,4469181.0,142,2,3
6_3771,AVDA.DE LOS ROSALES-MIGUEL SOLAS,442529.0,4467210.0,"85, 123, N12",2,3
6_3775,AVDA.LOS ROSALES-MIGUEL SOLAS,442513.0,4467279.0,"85, 123, N12",2,3
6_3776,COPERNICO-LADERA ALMENDROS,447060.0,4472068.0,"8, 71",2,3
6_3777,INDALECIO PRIETO-COPERNICO,447229.0,4472046.0,"8, 71",2,3
6_3824,RIBERA DEL LOIRA Nº 52,447582.0,4479357.0,104,2,3
6_3838,INDALECIO PRIETO-PZA.DAVILAS,447526.0,4472848.0,8,2,3
6_3860,SIMCA-CENSO,440179.0,4468886.0,60,2,3
6_3863,ALZOLA-RAFAELA YBARRA,439604.0,4469075.0,60,2,3
6_3864,CERRO NEGRO-CALIFORNIA,442997.0,4472115.0,"113, 148",2,3
6_3866,AV.CONSEJO EUROPA-RIBERA DEL LOIRA,447896.0,4479174.0,"104, 112, 122",2,3
6_5582,AV.ENSANCHE VALLECAS-CAÑADA DEL SANTISIMO,449203.0,4468546.0,142,2,3
6_5583,AV.ENSANCHE VALLECAS-CAÑADA DEL SANTISIMO,449175.0,4468493.0,"142, N9",2,3
6_5584,AV.ENSANCHE VALLECAS-ANTONIO GADES,449424.0,4468328.0,142,2,3
6_5589,FRANCISCO PI Y MARGALL - ISABEL VALOIS,444035.0,4482822.0,173,2,3
6_5591,FRANCISCO PI Y MARGALL-ISABEL VALOIS,443995.0,4482798.0,"173, N1",2,3
6_5594,Pº DELICIAS-PZA.LEGAZPI,441144.0,4471713.0,19,2,3
6_5571,CTRA.CASTILLA-Cº CERRO DEL AGUILA,435339.0,4478363.0,160,2,3
6_5091,AVDA.MANOTERAS Nº12,443375.0,4482409.0,"174, N1",2,3
6_3971,BAHIA DE PALMA-BAHIA DE SANTOÑA,449873.0,4479842.0,151,2,3
6_5114,ANA DE AUSTRIA-PRINCESA EBOLI,444240.0,4482875.0,173,2,3
6_5118,AVDA. DE LAS COMUNIDADES,447938.0,4472057.0,71,2,3
6_5119,AVDA. DE LAS COMUNIDADES,448131.0,4471995.0,71,2,3
6_5120,MINERVA-MOLINO VIEJO,448667.0,4472119.0,71,2,3
6_5775,CEMENTERIO SUR-ENTRADA PRINCIPAL,438790.0,4469122.0,SE702,1,0
6_3954,BARBERAN Y COLLAR-LOS YEBENES,435977.0,4472475.0,55,2,3
6_1241,GENERAL MILLÁN ASTRAY FTE.Nº59,435129.0,4469789.0,"34, 155, N19",2,3
6_1118,PRINCIPE DE VERGARA-MARIA DE MOLINA,442503.0,4476779.0,"29, 52, N2",2,3
6_1121,PRINCIPE DE VERGARA-AYALA,442421.0,4475653.0,"29, 52, N2",2,3
6_1206,Pº EXTREMADURA-AV.PORTUGAL,437095.0,4473548.0,"33, 36, 39, 65, N19",2,3
6_1222,EUGENIA DE MONTIJO Nº 78,436669.0,4470301.0,34,2,3
6_2325,AV.SENECA-MARTIN FIERRO,438169.0,4476512.0,"160, 161, A",2,3
6_2634,MARIA ODIAGA-FEDERICO GRASES,436957.0,4469967.0,108,2,3
6_1186,LUIS DE HOYOS SAINZ Nº 52,446006.0,4473069.0,"32, N8",2,3
6_1191,AV.MORATALAZ-PZA.ENCUENTRO,444902.0,4473231.0,32,2,3
6_5296,AVDA.DEL EURO-PEPION,437436.0,4469537.0,155,2,3
6_5400,"ARROYO FONTARRON, 301",445490.0,4472197.0,20,2,3
6_5610,VALCARLOS-TIERRA DE MELIDE,443913.0,4484332.0,N24,2,3
6_5318,PRINCESA-PZA.ESPAÑA,439726.0,4475340.0,"1, 1, 2, 44, 133, 138, C1, N21",2,3
6_1279,Pº MARCELINO CAMACHO-ANTOLINA MERINO,437070.0,4471160.0,"35, N17",2,3
6_1287,Pº. VIRGEN DEL PUERTO-RUY GONZALEZ,438924.0,4473576.0,"36, 50, 62",2,3
6_1292,Pº EXTREMADURA-BATAN,436324.0,4473218.0,"36, 39, 65, N19",2,3
6_1302,Pº EXTREMADURA-SAN JUAN DE LA MATA,435976.0,4473019.0,"36, 39, N19",2,3
6_5622,TOMAS REDONDO-RIBERA DEL LOIRA,446958.0,4480266.0,T11,2,3
6_5623,TOMAS REDONDO-C.E.I.P.JUAN ZARAGÜETA,446792.0,4480499.0,T11,2,3
6_5624,TOMAS REDONDO-C.E.I.P.JUAN ZARAGÜETA,446788.0,4480490.0,T11,2,3
6_5625,TOMAS REDONDO-VIA DE LOS POBLADOS,446580.0,4480636.0,T11,2,3
6_5626,TOMAS REDONDO-VIA DE LOS POBLADOS,446589.0,4480628.0,T11,2,3
6_5627,VIA DE LOS POBLADOS Nº 11,446410.0,4480775.0,T11,2,3
6_5628,VIA DE LOS POBLADOS Nº 11,446401.0,4480767.0,T11,1,3
6_5629,VIA DE LOS POBLADOS Nº 3,446199.0,4480964.0,T11,1,3
6_5630,GREGORIO SANCHEZ HERRAEZ-VIA POBLADOS,446102.0,4481098.0,T11,1,3
6_5411,ARCAUTE-ARAMAYONA,451119.0,4477344.0,"77, 167, N5",2,3
6_5531,SANTA IRENE-SAN LAMBERTO,444782.0,4474739.0,"110, 113, 210",2,3
6_5552,FUENTE DEL TIRO,433877.0,4470818.0,17,2,0
6_5553,FUENTE DEL TIRO - FAUSTINO CORDON,433738.0,4470912.0,17,2,3
6_5554,FUENTE DE LIMA Nº 22,433717.0,4470739.0,17,2,3
6_250,SAN ANTONIO PADUA-A.SALVADOR,440539.0,4471082.0,"6, 78",2,3
6_252,EVANGELIOS-SANTUARIO,440696.0,4470740.0,6,2,3
6_254,DOLORES BARRANCO-JASPE,440098.0,4470737.0,6,2,3
6_257,PARQUE DE LA PALOMA-CERRO ANGELES,439615.0,4470176.0,78,2,3
6_262,GUETARIA-REGIL,439362.0,4469090.0,60,2,3
6_3585,INDALECIO PRIETO-JOSE PRAT,447300.0,4472273.0,"8, 71",2,3
6_2659,AV.CANILLEJAS A VICALVARO-J.Gª BOUTAN,448283.0,4475857.0,"48, 167",2,3
6_1414,RIBERA MANZANARES-SANTA FE,437770.0,4476061.0,"41, 75",2,3
6_614,Pº CASTELLANA-GTA.EMILIO CASTELAR,441722.0,4476552.0,"14, 27, 45, 150, N1, N22, N24",2,3
6_203,SAN GERMAN-POETA JOAN MARAGALL,441388.0,4478829.0,"5, 126",2,3
6_5000,BATALLA DEL SALADO-PALOS FRONTERA,441049.0,4472912.0,"8, 19, 45, 47, 86, 247",2,3
6_5003,EMBAJADORES-PZA.BEATA Mª ANA JESUS,441094.0,4472032.0,"8, 19, 45, 47, 59, 85, 86, 247",2,3
6_5005,PEONIAS-GTA.YUCATAN,447032.0,4478189.0,"114, N4",2,3
6_196,ALONSO CANO-RIOS ROSAS,440958.0,4477205.0,5,2,3
6_413,LOPEZ DE HOYOS-PANTOJA,443302.0,4477778.0,"9, 73, N2",2,3
6_529,CNO. POZO DEL TIO RAIMUNDO,444866.0,4469633.0,T31,2,3
6_947,AV.CDAD.BARCELONA Nº 6,441974.0,4473198.0,"24, 37, 54, 57, 102, 141",2,3
6_5397, LUIS DE HOYOS SAINZ-CENTRO DE SALUD,446663.0,4472501.0,30,2,3
6_1309,Pº IMPERIAL-Pº PONTONES,439355.0,4473072.0,"36, 62",2,3
6_5093,CONCEPCION JERONIMA,440104.0,4474129.0,31,2,3
6_5098,PUERTA DE ARGANDA,449521.0,4472666.0,4,2,3
6_5106,CTRA.VILLAVERDE A VALLECAS-C.T.M.,444801.0,4468883.0,130,2,3
6_5109,NICETO ALCALA ZAMORA-ISABEL VALOIS,444564.0,4483518.0,"170, 172, 173, 172SF",2,3
6_5934,DOCE DE OCTUBRE-NARVAEZ,442701.0,4474312.0,61,1,0
6_667,NARVAEZ-IBIZA,442755.0,4474642.0,"2, 15, 26, 61, 63, 215, C2",2,3
6_5932,AVENIDA RAFAEL ALBERTI-SAN CLAUDIO,445998.0,4471630.0,54,1,0
6_5933,AVENIDA RAFAEL ALBERTI-SAN CLAUDIO,445975.0,4471644.0,54,1,0
6_2599,DEYANIRA-CAMPEZO,450623.0,4477259.0,"77, N5",2,3
6_3112,SAMANIEGO-CAMPEZO,450727.0,4477423.0,"77, 167, N5",2,3
6_3339,SAMANIEGO-CAMPEZO,450735.0,4477443.0,"77, 167, N5, SE744",2,3
6_3340,DEYANIRA Nº61,450561.0,4477278.0,"77, N5, SE744",2,3
6_3376,SAINZ DE BARANDA-MAIQUEZ,443023.0,4474450.0,"15, 215",2,3
6_3404,GRAL.RICARDOS-EUGENIA  DE MONTIJO,436892.0,4470511.0,34,2,3
6_3413,ROSALIA DE CASTRO-G.MISTRAL,437912.0,4481903.0,67,2,3
6_3742,DR.ESQUERDO-SAMARIA,443310.0,4474057.0,"30, 56, 143, 156",2,3
6_3749,Pº ERMITA DEL SANTO-Pº 15 DE MAYO,438560.0,4472634.0,25,2,3
6_3758,GTA. PRADERA DE NAVALURRAQUE,439428.0,4482616.0,49,2,3
6_3769,LAPONIA-MUNICH,446837.0,4473147.0,30,2,3
6_3784,AV.ROSALES-RUTILO,441675.0,4468800.0,"23, N12",2,3
6_3650,JUAN I.LUCA TENA-DR.ZAMENHOF,446956.0,4477826.0,"114, 146",2,3
6_1906,NUEVA ZELANDA-RUPERTO ANDRES,438708.0,4480109.0,64,2,3
6_1847,DIEGO DE LEON-PRINCIPE VERGARA,442454.0,4476454.0,61,2,3
6_1852,DIEGO DE LEON-VELAZQUEZ,442126.0,4476454.0,61,2,3
