,IDESTACION,latitude,longitude,DENOMINACION,LINEAS,ACONDICIONAMIENTOVIAJEROS
2551,6_3898,40.457710531907374,-3.6759498424869133,PRINCIPE DE VERGARA-REP.ECUADOR,"7, 16, 29, 51",2
2552,6_2804,40.37798942987559,-3.747671324580132,AV.POBLADOS-EUGENIA DE MONTIJO,"47, 121, 131",2
2553,6_619,40.457040609636024,-3.681108902840857,Pº HABANA-HERREROS DE TEJADA,14,2
2554,6_620,40.459236606483344,-3.6799516417490263,Pº HABANA-VERACRUZ,14,2
2555,6_1403,40.40910021827962,-3.71158618897086,RONDA DE SEGOVIA-PUERTA TOLEDO,C1,2
2556,6_2535,40.37820586100276,-3.747638376503066,AV.POBLADOS-EUGENIA DE MONTIJO,"47, 121, 131",2
2557,6_102,40.44755024718786,-3.7028289167587918,BRAVO MURILLO-MAUDES,"3, 45, 149, N23",2
2558,6_939,40.38941348913015,-3.6971107085124433,ANTONIO LOPEZ-AV.CORDOBA,"23, 123, N12",2
2559,6_1418,40.42603817033481,-3.72592274070226,SAN POL DE MAR,"41, 75",2
2560,6_2361,40.45788717242509,-3.654651362138588,ULISES-ARTURO SORIA,"120, 122",2
2561,6_2889,40.47864420809711,-3.6671934388643295,ARTURO SORIA-AV.SAN LUIS,"29, 125, 129, 150",2
2562,6_923,40.38889163372994,-3.696999288752728,ANTONIO LOPEZ-AV.CORDOBA,"23, 123, N12",2
2563,6_3081,40.39380747709345,-3.6527695882018945,AV.ALBUFERA-PIO FELIPE,141,2
2564,6_1311,40.447234808924456,-3.7028492153648402,BRAVO MURILLO-MAUDES,37,2
2565,6_1901,40.459680936960915,-3.710916580962415,FCOS.RODRIGUEZ-OFELIA NIETO,"64, 126, 127, 132, N21",2
2566,6_634,40.45946867493201,-3.680319608855989,Pº HABANA-VERACRUZ,14,2
2567,6_635,40.457157163534305,-3.6812044320792974,Pº HABANA-HERREROS DE TEJADA,14,2
2568,6_1698,40.456107612019764,-3.6773726269372147,SERRANO-PRINCIPE DE VERGARA,"51, N1",2
2569,6_684,40.45572880830708,-3.6759063943462325,PRINCIPE DE VERGARA-SERRANO,"16, 29, N1",2
2570,6_3897,40.45772105731618,-3.675690477212059,PRINCIPE DE VERGARA-REP.ECUADOR,"7, 16, 29, 51",2
2571,6_335,40.456006484282085,-3.6761804349552896,PRINCIPE DE VERGARA-SERRANO,"7, 16, 29",2
2572,6_1473,40.45344980459932,-3.675859970942495,AV.RAMON Y CAJAL-PPE.VERGARA,"43, 52, 120",2
2573,6_1474,40.453414669611284,-3.6726164412776257,AV.RAMON Y CAJAL-VICTOR DE LA SERNA,"43, 120",2
2574,6_336,40.453950898643846,-3.6764428715760022,PRINCIPE DE VERGARA-CONCHA ESPINA,"7, 16, 29",2
2575,6_1388,40.45503013984761,-3.665898371982449,AVDA.ALFONSO XIII-AV.RAMON Y CAJAL,40,2
2576,6_940,40.39071920521354,-3.6987030164496866,ANTONIO LOPEZ-AMPARO USERA,"23, N15",2
2577,6_1711,40.454139824245225,-3.673402043266299,PTO.RICO-AV.RAMON Y CAJAL,52,2
2578,6_303,40.45397657085009,-3.6797453006116876,SERRANO-HOSPITAL SAN RAFAEL,"7, 51",2
2579,6_1699,40.45409250172672,-3.679946958209821,SERRANO-HOSPITAL SAN RAFAEL,"51, N1",2
2580,6_443,40.45322545286751,-3.6663994633229633,AV.ALFONSO XIII-PRADILLO,"9, 40, 43, 72, 73, N2",2
2581,6_1384,40.455064678887226,-3.6661581735930966,AVDA.ALFONSO XIII-AV.RAMON Y CAJAL,40,2
2582,6_3223,40.45441209337333,-3.6637104635027318,AV.RAMON Y CAJAL-PADRE CLARET,120,2
2583,6_274,40.38940210965586,-3.698995741377113,MARCELO USERA-GTA.DE CADIZ,"6, 78",2
2584,6_922,40.390769766594296,-3.699280877922302,ANTONIO LOPEZ-AMPARO USERA,"23, N15",2
2585,6_921,40.39196863491569,-3.7006600647873014,ANTONIO LOPEZ-MATILDE GAYO,23,2
2586,6_3724,40.46691537607985,-3.7181646544343816,ANTONIO MACHADO-SINESIO DELGADO,"126, 127, 132",2
2587,6_2871,40.467546474547596,-3.7180888061071005,ANTONIO MACHADO-SINESIO DELGADO,"127, 132, N21",2
2588,6_3437,40.46510857024106,-3.7189710875617648,ANTONIO MACHADO-ISLA DE OZA,"126, 127, 132",2
2589,6_3466,40.467712434003765,-3.7174771891904057,SINESIO DELGADO-ANTONIO MACHADO,126,2
2590,6_5572,40.43658904076294,-3.679770594794927,DIEGO DE LEON-CASTELLO,61,2
2591,6_5575,40.464350192830075,-3.66193282503953,EMETERIO CASTAÑOS-ARTURO SORIA,87,2
2592,6_5576,40.36899817837004,-3.6146264349036286,CERRO MILANO-AV.GAVIA,142,2
2593,6_5577,40.36923390672924,-3.6143458873933403,CERRO MILANO-AV.GAVIA,142,2
2594,6_5579,40.37059390455485,-3.6075971223647616,ENSANCHE VALLECAS-PEÑARANDA BRACAMONTE,145,2
2595,6_5250,40.473359187416285,-3.672850806927483,AV.PIO XII-MARQUES DE TORROJA,"14, 16",2
2596,6_5673,40.36886437187413,-3.619442683997277,GRANJA SAN ILDEFONSO-BATRES,142,1
2597,6_5372,40.50660519931242,-3.6645433770368454,AVDA. STO. DOMINGO DE LA CALZADA,"170, T61",2
2598,6_5378,40.49729473033797,-3.6988633670592224,TRAVESIA COSTA BRAVA,178,2
2599,6_5366,40.36743424485826,-3.7595803556119294,JACOBEO-LONJA DE LA SEDA,"35, N17",2
2600,6_255,40.384334552411254,-3.7100766857318064,AV.RAFAELA YBARRA-DOLORES BARRANCO,"6, 60, 81, N15",2
2601,6_2365,40.489543211412965,-3.695018847263223,SAN MODESTO-HOSPITAL RAMON Y CAJAL,"125, 165, 166",2
2602,6_2370,40.479618255525935,-3.635018228632059,GREGORIO SANCHEZ HERRAEZ-M40,"87, N2",2
2603,6_2380,40.47536222176501,-3.635709557517275,MANIZALES-ARACATACA,87,2
2604,6_2387,40.47100240644073,-3.6421329038981805,GRAN VIA HORTALEZA-GTA.SANDRO PERTINI,87,2
2605,6_2260,40.47073736947387,-3.7264628385507503,SAN MARTIN DE PORRES-ARTESA DE SEGRE,82,2
2606,6_427,40.477808753325824,-3.646161759534104,MAR DE LAS ANTILLAS-SANTA SUSANA,9,2
2607,6_340,40.447686183709365,-3.6846818846672753,JOAQUIN COSTA-PZA.REP.ARGENTINA,"7, C2",2
2608,6_345,40.437311446106854,-3.690129977383691,MIGUEL ANGEL Nº 11,"7, 40, 147",2
2609,6_5254,40.44654922662517,-3.6834675456254473,JOAQUÍN COSTA-PZA.REP.ARGENTINA,C2,2
2610,6_1775,40.42955147826487,-3.66766295205975,PZA.MANUEL BECERRA-DR. ESQUERDO,"56, 143, 156, C1, E5",2
2611,6_2943,40.37932792387099,-3.628727269197678,Cº HORMIGUERAS-CTRA.VILLAVERDE VALLECAS,"130, T31",2
2612,6_1789,40.380560762163064,-3.6565411109879373,AV.PQUE.PALOMERAS BAJAS-AHIJONES,"57, 136, 144",2
2613,6_1795,40.38374024901458,-3.6502925897371377,AV.PABLO NERUDA-VILLALOBOS,"57, 144",2
2614,6_1801,40.38787704162942,-3.6627034122873416,MARTINEZ DE LA RIVA-PEÑA FALCONERA,"57, 144",2
2615,6_2347,40.35347334790171,-3.690063504293554,J.JOSE MTNEZ.SECO-E.MACARENA,"85, 123, N13",2
2616,6_2016,40.44798315670937,-3.690793371125598,RAIMUNDO FDEZ.VILLAVERDE-Pº CASTELLANA,C1,2
2617,6_3326,40.384271811720076,-3.6518881789366695,AVDA. BUENOS AIRES,136,2
2618,6_3358,40.390908626512896,-3.757334389639411,VALMOJADO Nº 209,138,2
2619,6_3363,40.40413720211272,-3.7513074330316534,SEPULVEDA-BERLANAS,138,2
2620,6_2462,40.37791907279524,-3.7146271586132684,AVENA-R.BELTRAN ROZPIDE,78,2
2621,6_2469,40.4572077507638,-3.5936105321065237,Pº ALAMEDA OSUNA-RAMBLA,"101, 105, 151",2
2622,6_3208,40.399503028913905,-3.6697817210811086,CERRO NEGRO-JATIVA,"113, 148",2
2623,6_3075,40.404146936947654,-3.670605544435698,SIERRA TOLEDANA-BALTASAR SANTOS,141,2
2624,6_3080,40.399532125421345,-3.6520824872800763,RAMON PEREZ AYALA-BENJAMIN PALENCIA,141,2
2625,6_761,40.399895077420666,-3.706834571659106,PASEO YESERIAS-PARQUE ARGANZUELA,"18, N12",2
2626,6_763,40.39343759779841,-3.694607100989555,Pº CHOPERA-PZA.LEGAZPI,"6, 18, 78, 148, N12, N14",2
2627,6_768,40.37234531744555,-3.693436363708003,AV.ANDALUCIA-AV.POBLADOS,"18, 22, 59, 79, 85, 86, N13, N14",2
2628,6_771,40.36000311428086,-3.6948880155210704,VERBENA PALOMA-SOTO DEL PARRAL,"18, 86",2
2629,6_708,40.413326290008584,-3.707045812686903,TOLEDO-LA LATINA,"2, 17, 18, 23, 35, N26, SE712",2
2630,6_645,40.42408323871409,-3.6799865415553312,ALCALA-AV.MENEDEZ PELAYO,"15, 52, 146, N2, N3, N5, N7",2
